Date,Amount,Zone,Customer
15/11/2016 11:50,1.60,Red,Driver 1
07/03/2016 13:04,4.35,Yellow,Driver 5
21/06/2016 13:23,1.45,Yellow,Driver 6
16/11/2016 08:58,3.87,Yellow,Driver 8
11/11/2016 12:51,2.00,Red,Driver 10
19/01/2016 15:20,1.45,Yellow,Driver 11
30/01/2016 15:19,2.42,Yellow,Driver 12
07/01/2016 11:40,1.20,Red,Driver 13
21/06/2016 11:47,1.60,Red,Driver 13
14/01/2016 12:47,1.69,Yellow,Driver 13
30/03/2016 12:59,0.97,Yellow,Driver 13
25/05/2016 10:04,1.93,Yellow,Driver 13
25/07/2016 11:01,2.90,Yellow,Driver 13
24/10/2016 11:18,1.93,Yellow,Driver 13
22/11/2016 12:51,1.45,Yellow,Driver 13
06/01/2016 10:57,1.45,Yellow,Driver 14
14/09/2016 11:51,2.90,Yellow,Driver 14
24/05/2016 14:04,1.21,Yellow,Driver 15
08/10/2016 14:34,0.97,Yellow,Driver 16
24/10/2016 13:52,2.17,Yellow,Driver 17
24/02/2016 12:21,2.40,Red,Driver 21
01/06/2016 15:00,1.20,Red,Driver 24
16/05/2016 11:10,2.90,Yellow,Driver 25