PN,IL,JR,AR,MA,AB,TH,CC,SE,DW,TR,GR,DR,BT
168,940,741,298,357,274,217,115,35,183,255,779,367,357
161,936,733,296,353,274,217,111,34,180,255,776,365,355
161,936,733,296,353,274,217,111,33,180,255,776,365,355
161,936,733,296,353,274,217,111,32,180,255,776,365,355
147,933,722,294,347,269,216,107,31,173,247,759,359,353
138,930,716,293,343,266,215,107,30,172,245,755,353,353
138,930,716,293,343,266,215,107,30,172,245,755,353,353
138,930,716,293,343,266,215,107,30,172,245,755,353,353
129,920,707,292,338,262,215,103,29,177,242,753,350,351
129,920,707,292,338,262,215,103,29,177,242,752,350,351
129,920,707,292,338,262,215,103,29,177,242,746,350,351
121,918,699,291,336,261,215,100,28,178,238,743,346,350
121,918,699,291,336,261,215,100,28,178,238,732,346,350
112,910,691,288,330,257,212,99,28,178,236,728,340,349
112,910,691,288,330,257,212,99,28,178,236,728,340,349
112,910,691,288,330,257,212,99,28,178,236,728,340,349
105,909,686,287,325,256,211,96,24,177,230,717,339,348
105,909,686,287,325,256,211,96,24,177,230,717,339,348
105,909,686,287,325,256,211,96,24,177,230,717,339,348
98,901,681,285,318,257,209,92,21,174,228,709,335,347
91,895,671,283,308,254,208,90,19,171,224,699,334,346
91,895,671,283,308,254,208,90,19,171,224,699,334,346
91,895,671,283,308,254,208,90,19,171,224,699,334,346
83,885,662,279,304,249,208,86,18,165,223,688,326,343
83,885,662,279,304,249,208,86,18,165,223,688,326,343
83,885,662,279,304,249,208,86,18,165,223,688,326,343
68,873,650,279,300,247,208,85,13,155,223,682,314,341
68,873,650,279,300,247,208,85,13,155,223,675,314,341
64,866,647,275,295,247,208,83,10,153,218,669,311,340
64,866,647,275,295,247,208,83,10,153,218,669,311,340