Time,Approach 1, Approach 2, Approach 3, Approach 4, Approach 5, Approach 6
01:00,63,70,114,46,71,364
02:00,59,42,65,20,25,211
03:00,32,20,40,16,12,120
04:00,31,29,41,19,11,131
05:00,18,24,39,15,60,156
06:00,44,50,61,21,47,223
07:00,74,114,265,87,103,643
08:00,135,271,354,110,184,1054
09:00,150,348,341,82,169,1090
10:00,194,315,294,84,187,1074
11:00,155,252,285,63,166,921
12:00,149,248,282,81,163,923
13:00,156,265,331,90,156,998
14:00,171,255,288,90,161,965
15:00,139,280,325,81,178,1003
16:00,157,300,340,88,155,1040
17:00,207,272,310,94,150,1033
18:00,207,296,289,88,115,995
19:00,146,216,341,89,118,910
20:00,163,221,304,79,154,921
21:00,161,172,232,72,159,796
22:00,133,127,190,54,142,646
23:00,113,112,147,63,129,564
24:00,91,87,145,55,93,471